Date,boiler,solar_thermal_pump,laptop,washing_machine,dishwasher,tv,htpc,kettle,toaster,fridge,microwave,lcd_office,hifi_office,breadmaker,amp_livingroom,adsl_router,livingroom_s_lamp,soldering_iron,gigE_&_USBhub,hoover,kitchen_dt_lamp,bedroom_ds_lamp,lighting_circuit,livingroom_s_lamp2,iPad_charger,subwoofer_livingroom,livingroom_lamp_tv,DAB_radio_livingroom,kitchen_lamp2,kitchen_phone&stereo,utilityrm_lamp,samsung_charger,bedroom_d_lamp,coffee_machine,kitchen_radio,bedroom_chargers,hair_dryer,straighteners,iron,gas_oven,data_logger_pc,childs_table_lamp,childs_ds_lamp,baby_monitor_tx,battery_charger,office_lamp1,office_lamp2,office_lamp3,office_pc,office_ds_fan,LED_printer,Total_power_mainMeter
27-03-13,0.682,0.173,0,0.564,0.21,0.186,0.342,0.278,0.377,0.686,0.062,0.333,0,0,0.025,0.117,0.015,0,0,0,0.021,0,0.482,0,0,0.074,0,0,0.168,0.048,0,0,0,0.074,0.002,0.071,0.127,0.007,0,0,0.263,0.055,0,0,0,0,0,0,0,0,0,10.053
28-03-13,0.634,0.129,0,0.704,0,0.218,0.261,0.42,0.472,0.752,0.114,0.475,0.013,0,0.02,0.128,0.033,0,0,0,0,0,0.891,0.033,0,0.067,0,0.001,0.201,0.088,0.003,0,0,0.051,0.003,0.067,0,0,0,0.035,0.284,0,0.003,0,0,0,0,0,0,0,0,4.596
29-03-13,0.144,0.216,0,0,0,0,0.08,0.125,0.11,0.6,0.019,0.005,0,0,0,0.125,0.101,0,0,0,0,0,0.198,0,0,0,0,0,0.342,0.03,0,0,0,0,0,0.073,0,0,0,0,0.278,0,0,0,0,0,0,0,0,0,0,3.548
30-03-13,0,0.107,0,0,0,0,0.065,0,0,0.536,0,0,0,0,0,0.121,0.118,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.002,0,0,0.062,0,0,0,0,0.271,0,0,0,0,0,0,0,0,0,0,0.21
31-03-13,0,0.067,0,0,0,0,0.003,0,0,0.511,0,0,0,0,0,0.121,0.117,0,0,0,0,0,0,0,0,0,0,0,0.302,0,0,0,0,0,0,0.062,0,0,0,0,0.269,0,0,0,0,0,0,0,0,0,0,0.631
01-04-13,0.212,0.177,0,0,0,0.092,0.125,0,0,0.45,0.034,0,0,0,0.018,0.123,0.106,0,0,0.002,0,0,0.304,0,0,0.014,0.007,0,0.282,0,0,0,0,0,0,0.062,0,0,0,0,0.269,0.023,0.001,0,0,0,0,0,0,0,0,10.831
02-04-13,0.523,0.302,0.058,0.605,1.061,0.478,0.333,0.488,0.335,0.691,0.318,0.287,0,0,0.019,0.128,0.044,0,0,0,0,0,0.581,0,0.003,0.126,0.034,0,0,0.037,0,0,0,0,0.003,0.075,0.107,0.008,0,0.016,0.283,0.008,0.002,0,0,0,0,0,0,0,0,13.483
03-04-13,0.681,0.066,0,1.872,0.978,0.399,0.286,0.597,0.208,0.759,0.182,0.537,0,0,0.035,0.127,0.064,0,0,0,0,0,1.075,0,0,0.065,0.017,0,0.035,0,0,0,0,0,0.003,0.072,0,0,0,0.05,0.283,0.023,0.003,0,0,0,0,0,0,0,0,8.855
04-04-13,0.63,0.054,0,0,0,0.37,0.315,0.336,0.437,0.765,0.272,0.295,0,0,0.021,0.125,0.033,0,0,0,0,0,1.213,0,0,0.059,0.013,0,0.067,0,0,0,0,0,0.002,0.074,0.077,0.008,0,0.073,0.28,0.003,0.003,0,0,0,0,0,0,0,0,9.707
05-04-13,0.598,0.2,0,0.518,1.009,0.19,0.212,0.445,0.254,0.765,0.079,0.458,0,0.498,0.02,0.126,0.036,0,0,0,0,0,0.669,0,0,0.031,0.027,0,0.046,0,0,0,0,0.054,0.005,0.08,0,0,0,0.016,0.279,0.001,0.009,0,0,0,0,0,0,0,0,7.05
06-04-13,0.52,0.336,0,0,0,0.228,0.215,0.237,0.291,0.732,0.07,0,0,0,0.016,0.12,0.036,0,0,0.131,0,0,0.323,0.007,0,0.036,0.03,0,0,0.05,0,0,0,0,0.009,0.074,0.083,0.01,0,0.02,0.273,0,0.028,0,0,0,0,0,0,0,0,7.665
07-04-13,0.4,0.277,0,0,0,0.257,0.335,0.319,0.354,0.673,0.143,0,0,0,0.03,0.121,0.036,0,0,1.151,0,0,0.303,0.003,0,0.04,0.029,0,0,0.035,0,0,0.001,0,0.002,0.073,0,0,0,0.011,0.272,0.009,0.01,0,0,0,0,0,0,0,0,13.558
08-04-13,0.368,0.174,0.001,2.528,1.067,0.268,1.278,0.478,0.145,0.752,0.066,0.417,0,0,0.014,0.127,0.036,0,0,0,0,0,0.534,0.011,0,0.039,0.03,0,0,0.018,0,0,0,0,0.004,0.066,0,0,0,0.037,0.279,0,0.018,0,0,0,0,0,0,0,0,8.038
09-04-13,0.461,0.216,0.013,0,0,0.405,0.392,0.429,0.234,0.7,0.133,0.133,0,0,0.093,0.122,0.031,0.052,0,0,0.015,0,0.892,0,0,0.076,0.007,0,0.08,0.013,0,0,0,0,0.002,0.063,0.089,0.007,0,0.024,0.275,0.006,0.05,0,0,0,0,0,0,0,0,7.152
10-04-13,0.44,0.218,0,0,0.937,0.072,0.165,0.352,0.416,0.697,0.136,0.211,0,0,0.015,0.121,0.076,0,0,0,0.003,0,0.386,0,0,0.01,0.008,0,0.139,0.029,0,0,0,0,0.004,0.077,0,0.006,0,0,0.275,0,0,0,0,0,0,0,0,0,0,9.306
11-04-13,0.414,0.146,0,0,0,0.234,0.162,0.36,0.24,0.645,0.058,0.487,0,0,0.117,0.104,0.039,0,0.002,0.048,0,0,0.815,0,0,0.08,0.028,0,0,0,0,0,0,0.052,0.001,0.052,0,0,0,0.026,0.253,0.002,0,0,0,0.003,0.002,0.001,0,0,0,7.329
12-04-13,0.357,0.156,0,0.471,0,0.104,0.128,0.239,0.319,0.76,0.144,0.153,0,0,0.019,0.115,0.011,0,0.027,0,0.002,0,0.676,0,0,0.016,0.008,0,0.114,0,0,0,0,0,0.003,0.052,0,0.005,0,0.015,0.266,0,0,0,0,0.014,0.011,0.007,0,0,0,11.011
13-04-13,0.339,0.155,0,1.608,0.812,0.276,0.243,0.332,0.436,0.814,0.061,0,0,0,0.079,0.115,0.036,0,0,0.759,0,0,0.777,0,0,0.054,0.012,0,0,0.002,0,0,0,0,0.004,0.062,0,0,0,0.055,0.264,0.003,0,0,0,0,0,0,0,0,0,8.393
14-04-13,0.19,0.287,0,1.197,0,0.187,0.13,0.284,0.326,0.751,0.136,0,0,0,0.043,0.115,0.025,0,0,0.011,0.008,0,0.48,0.006,0,0.029,0.031,0,0,0,0,0,0,0.063,0.002,0.066,0.11,0.009,0,0.007,0.264,0.023,0,0,0,0,0,0,0,0,0,6.094
15-04-13,0.193,0.285,0,0.442,0,0.1,0.113,0.405,0.379,0.778,0.063,0.341,0,0,0.023,0.118,0.016,0,0.056,0,0.001,0,0.251,0,0,0.015,0.01,0,0,0,0,0,0,0,0.002,0.072,0,0.006,0,0.011,0.271,0,0,0,0.01,0.014,0.015,0.01,0,0,0,8.955
16-04-13,0.176,0.355,0.057,0.921,0.919,0.069,0.101,0.317,0.54,0.756,0.095,0.17,0,0,0.015,0.116,0.006,0,0.028,0,0.006,0,0.309,0,0,0.01,0.004,0,0.013,0.022,0,0,0,0,0.003,0.074,0.074,0.01,0,0.014,0.268,0,0,0,0,0.016,0.014,0.008,0,0,0,7.607
17-04-13,0.281,0.211,0,0.511,0,0.338,0.213,0.271,0.327,0.772,0.344,0.084,0,0,0.071,0.115,0.031,0,0.022,0,0,0,0.374,0,0.014,0.048,0,0.001,0,0,0,0,0,0,0.001,0.068,0,0,0,0.023,0.266,0,0,0,0,0,0,0.009,0,0,0,8.469
18-04-13,0.21,0.235,0,0.977,0,0.412,0.292,0.271,0.318,0.803,0.22,0.384,0,0,0.088,0.122,0.04,0,0.065,0,0,0,0.101,0,0,0.059,0,0,0.066,0,0,0,0,0,0.002,0.067,0,0,0,0.033,0.274,0,0,0,0,0,0,0,0.187,0,0,7.639
19-04-13,0.287,0.266,0,0,0.309,0.411,0.265,0.437,0.179,0.856,0.087,0,0,0.494,0.086,0.116,0.041,0,0,0,0,0,0.898,0,0,0.083,0,0,0.025,0.007,0,0,0,0,0.004,0.069,0.133,0.007,0,0.019,0.266,0,0,0,0,0,0,0,0,0,0,8.004
20-04-13,0.295,0.356,0,0,0.554,0.318,0.305,0.387,0.139,0.729,0.081,0,0,0,0.071,0.12,0,0,0,0,0.078,0,0.632,0,0,0.046,0,0,0,0.002,0,0,0,0,0.009,0.069,0,0.004,0,0.055,0.27,0,0.001,0,0,0,0,0,0,0,0,7.861
21-04-13,0.269,0.257,0,0.553,0,0.275,0.107,0.35,0.143,0.733,0.086,0,0,0,0.038,0.117,0.015,0,0.002,0.647,0,0,0.675,0,0,0.025,0,0,0,0,0,0,0,0,0,0.038,0.134,0.008,0,0.011,0.27,0,0,0,0,0,0,0,0,0,0,8.3
22-04-13,0.217,0.194,0.001,0.449,1.007,0.3,0.192,0.384,0.149,0.753,0.107,0.066,0,0,0.063,0.119,0.017,0,0.04,0,0,0,0.599,0,0,0.052,0.02,0,0.094,0.009,0,0,0,0,0.004,0.082,0,0.006,0,0,0.274,0,0,0,0,0,0,0,0,0,0,6.204
23-04-13,0.231,0.353,0.003,0,0,0.145,0.221,0.33,0.161,0.641,0.084,0.038,0,0,0.032,0.118,0.008,0,0.005,0,0,0,0.204,0,0,0.021,0.012,0,0.12,0.018,0,0,0,0,0.002,0.077,0,0.002,0,0.03,0.27,0,0,0,0,0.001,0.004,0.004,0,0,0,6.422
24-04-13,0.211,0.27,0,0,0,0.195,0.135,0.249,0.17,0.772,0.139,0.448,0,0,0.044,0.12,0,0,0.08,0,0,0,0.12,0,0,0.03,0.023,0,0.034,0.021,0,0,0,0.002,0.003,0.068,0,0,0,0.047,0.273,0,0,0,0,0.007,0.006,0.005,0,0,0,6.903
25-04-13,0.205,0.359,0,0.405,0,0.113,0.135,0.316,0.465,0.802,0.144,0.133,0,0,0.179,0.115,0.01,0,0.024,0,0.004,0,0.165,0,0,0.015,0.013,0,0.003,0.012,0,0,0,0,0.001,0.034,0.058,0.014,0.062,0,0.268,0,0,0,0,0.005,0.005,0.003,0,0,0,8.572
26-04-13,0.204,0.23,0,0.845,0.92,0.145,0.237,0.276,0.242,0.826,0.294,0.072,0,0,0.03,0.117,0.012,0,0.016,0,0.002,0.012,0.152,0,0,0.02,0.015,0,0.001,0.082,0,0,0,0,0.003,0.043,0,0.004,0,0,0.269,0,0,0,0,0.006,0.005,0.01,0,0,0,7.807
27-04-13,0.225,0.241,0,0.49,0,0.121,0.35,0.23,0.756,0.769,0.079,0,0,0,0.03,0.118,0.01,0,0,0.705,0,0.005,0.112,0,0.014,0.02,0.02,0,0,0.047,0,0,0,0,0.002,0.085,0,0,0,0.038,0.265,0,0,0,0,0,0,0,0,0,0,7.784
28-04-13,0.36,0.265,0,0,0.9,0.176,0.583,0.381,0.273,0.699,0.051,0,0,0,0.055,0.118,0.026,0,0,0,0,0.007,0.362,0.007,0,0.04,0.02,0,0,0,0,0,0,0,0.005,0.06,0.034,0.006,0,0.071,0.264,0,0,0,0,0,0,0,0,0,0,7.218
29-04-13,0.243,0.293,0,1.155,0,0.308,0.189,0.312,0.336,0.762,0.049,0,0,0,0.061,0.114,0,0,0,0,0,0.001,0.19,0,0,0.043,0.011,0.001,0,0,0,0,0,0,0.012,0.073,0,0,0,0.028,0.262,0,0,0,0,0,0,0,0,0,0,6.055
30-04-13,0.215,0.293,0.002,0,0,0.054,0.077,0.231,0.274,0.703,0.064,0.221,0,0.393,0.012,0.117,0,0,0.029,0,0,0,0.317,0,0,0.008,0.004,0.001,0,0,0,0,0.001,0,0.004,0.074,0.137,0.012,0,0.021,0.265,0.001,0,0,0,0.004,0.01,0.009,0,0,0,8.498
01-05-13,0.364,0.337,0.006,0,0.947,0.134,0.103,0.248,0.205,0.724,0.059,0.896,0.02,0,0.03,0.13,0.021,0,0.116,0,0,0,0.12,0,0,0.02,0.016,0.001,0,0,0,0,0,0,0.004,0.074,0,0,0,0.055,0.287,0,0,0,0,0,0,0,0.449,0,0,8.745
02-05-13,0.227,0.351,0.012,0.987,0,0.298,0.196,0.271,0.074,0.702,0.099,0.508,0.017,0,0.067,0.123,0.004,0,0.091,0,0,0,0.075,0,0,0.047,0,0,0,0,0,0,0,0,0.002,0.064,0.078,0.009,0,0.007,0.275,0,0,0,0,0,0.001,0,0,0,0,6.106
03-05-13,0.208,0.316,0,0.39,0,0.323,0.198,0.172,0.21,0.631,0.17,0.106,0,0,0.066,0.117,0,0,0.002,0,0,0,0.026,0,0,0.045,0.013,0,0,0,0,0,0,0,0.001,0.054,0,0,0,0,0.266,0,0,0,0,0,0,0,0,0,0,6.519
04-05-13,0.193,0.303,0,0,0.852,0.142,0.204,0.253,0.34,0.823,0.038,0,0,0,0.039,0.116,0.029,0,0,0.401,0,0,0.103,0,0,0.026,0.023,0,0,0,0,0,0,0,0.004,0.057,0.069,0.01,0,0.013,0.265,0,0,0,0,0,0,0,0,0,0,8.723
05-05-13,0.165,0.27,0,1.751,0,0.259,0.214,0.313,0.194,0.72,0.046,0.018,0.001,0,0.062,0.118,0.031,0,0,0,0.002,0,0.149,0.001,0,0.043,0.024,0,0,0,0,0,0,0,0.004,0.047,0,0,0,0,0.268,0,0,0,0,0,0,0,0.071,0,0,5.65
06-05-13,0.166,0.345,0.001,0,0,0.264,0.174,0.105,0.55,0.653,0.055,0.088,0.022,0,0.058,0.117,0.041,0,0.014,0,0.001,0.01,0.143,0,0,0.04,0,0,0,0,0,0,0,0,0.017,0.025,0.008,0.01,0,0,0.269,0,0,0,0,0,0.005,0.009,0,0,0,4.925
07-05-13,0.177,0.238,0,0,0,0.13,0.194,0.148,0.118,0.776,0.112,0.049,0,0,0.028,0.116,0.025,0,0.01,0,0,0.005,0.083,0,0.003,0.019,0.022,0,0.004,0.022,0,0,0,0,0.003,0.026,0,0,0,0.005,0.269,0,0,0,0,0.006,0.023,0.006,0,0,0,6.405
08-05-13,0.176,0.181,0,0,0,0.104,0.225,0.206,0.184,0.807,0.03,0.678,0.036,0,0.022,0.123,0.015,0,0.126,0,0,0.005,0.122,0,0,0.015,0.012,0,0,0.001,0,0,0,0,0.003,0.01,0,0,0,0.006,0.275,0,0,0,0,0.043,0.05,0.034,0,0,0,4.987
09-05-13,0.177,0.207,0,0,0,0,0.143,0.135,0.258,0.679,0,0.414,0,0,0,0.12,0,0,0.071,0,0,0.012,0.024,0,0,0,0,0,0.057,0,0,0,0,0,0.012,0,0,0,0,0.023,0.271,0,0,0,0,0,0,0,0,0,0,7.707
10-05-13,0.171,0.187,0,0,0.925,0.068,0.184,0.197,0.09,0.728,0,0.445,0,0.428,0.016,0.121,0.033,0,0.067,0.616,0,0.003,0.16,0,0,0.01,0.005,0,0,0,0,0,0,0,0.005,0.001,0,0,0,0.01,0.273,0,0,0,0,0,0,0,0,0,0,8.397
11-05-13,0.186,0.173,0,0.741,0,0.247,0.314,0.305,0.256,0.78,0.123,0.299,0.005,0,0.053,0.12,0.037,0,0,0,0,0.001,0.035,0,0,0.12,0.012,0,0,0,0,0,0,0,0.002,0.009,0,0,0,0.041,0.27,0,0,0,0,0,0,0,1.051,0,0,6.828
12-05-13,0.241,0.277,0,1.25,0,0.273,0.205,0.235,0.087,0.684,0.056,0,0,0,0.06,0.116,0.009,0,0,0,0.002,0.002,0.211,0,0,0.042,0.056,0,0,0,0,0,0,0,0.009,0.006,0.058,0.01,0,0,0.265,0,0,0,0,0,0,0,0,0,0,5.967
13-05-13,0.178,0.342,0,0,0,0.173,0.209,0.259,0.173,0.695,0.078,0.144,0,0,0.027,0.119,0,0,0.02,0,0,0.001,0.073,0,0,0.018,0.202,0,0.032,0,0,0,0,0,0.002,0.008,0,0.004,0,0.053,0.269,0,0,0,0,0.012,0.015,0.014,0.278,0,0,8.945
14-05-13,0.242,0.231,0,0,0.878,0.221,0.137,0.386,0.338,0.822,0.078,0.086,0,0,0.047,0.127,0,0,0.121,0,0,0.005,0.621,0.012,0,0.033,0,0,0.104,0.009,0,0,0,0,0.003,0.007,0.121,0.008,0,0.02,0.278,0,0,0,0,0.019,0.018,0.011,0,0,0,8.375
15-05-13,0.334,0.282,0,0,0,0.441,0.637,0.281,0.085,0.729,0.378,0.111,0,0.502,0.094,0.126,0.044,0,0.095,0,0,0,0.292,0.022,0,0.114,0.035,0,0.084,0,0,0,0,0,0.005,0.008,0.067,0.018,0.03,0.009,0.28,0,0,0,0,0,0,0,0,0,0,8.598
16-05-13,0.199,0.264,0,0.423,0,0.353,0.468,0.587,0.391,0.764,0.062,0.139,0,0,0.062,0.132,0.018,0,0.123,0,0,0.001,0.287,0,0.019,0.017,0.014,0,0.099,0,0,0,0,0,0.002,0.008,0,0,0,0,0.295,0,0,0,0,0.007,0.007,0.005,0,0,0,7.892
17-05-13,0.212,0.178,0,0,0,0.153,0.281,0.291,0.462,0.67,0.055,0.718,0.011,0,0.032,0.128,0.022,0,0.109,0,0,0,0.219,0,0,0.022,0.017,0,0,0,0,0,0,0,0.004,0.008,0.055,0.009,0,0.015,0.39,0,0,0.001,0,0.097,0.089,0.053,0,0,0,10.584
18-05-13,0.209,0.293,0,0.418,0.867,0.089,0.261,0.425,0.355,0.86,0.055,0.127,0,0.56,0.022,0.127,0.004,0,0.032,0.555,0,0.001,0.529,0,0,0.015,0.013,0,0.004,0,0,0,0,0,0.002,0.007,0,0,0,0.044,0.278,0,0,0,0,0,0,0,0.32,0,0,9.62
19-05-13,0.256,0.329,0,1.932,0,0.198,0.275,0.592,0.229,0.756,0.065,0.451,0.001,0,0.048,0.122,0,0,0.094,0.002,0,0.001,0.193,0,0,0.034,0.012,0,0,0,0,0,0,0,0,0.007,0,0,0,0.043,0.273,0,0,0,0,0,0.001,0,0,0,0,7.767
20-05-13,0.216,0.028,0,0,0.9,0.377,0.254,0.426,0.257,0.696,0.152,0.25,0,0,0.086,0.121,0.002,0,0.055,0,0,0,0.511,0,0,0.059,0.033,0,0,0,0,0,0,0,0.006,0.008,0,0,0,0.029,0.272,0,0,0,0,0,0,0,0.665,0,0,9.206
21-05-13,0.182,0.183,0,0.773,0,0.207,0.148,0.386,0.367,0.814,0.057,0.329,0,0,0.044,0.13,0.017,0,0.073,0,0,0.001,0.151,0,0,0.029,0.013,0,0.026,0.008,0,0.004,0,0,0.002,0.007,0,0.006,0,0.033,0.283,0,0,0,0,0.001,0.002,0.054,0,0,0,6.442
22-05-13,0.159,0.147,0,0,0.832,0.041,0.23,0.249,0.441,0.752,0.091,0.015,0,0,0.009,0.121,0.047,0,0.002,0,0,0,0.352,0,0,0.006,0,0,0,0,0,0,0,0,0.004,0.024,0.137,0.009,0,0.021,0.271,0,0,0,0,0,0.02,0,0,0,0,4.019
23-05-13,0,0.368,0,0,0,0,0.003,0.082,0.11,0.577,0.022,0,0,0,0,0.118,0.177,0,0,0,0.001,0,0.051,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0.099,0,0,0,0,3.018
24-05-13,0,0.024,0,0,0,0,0.141,0,0,0.613,0,0,0,0,0,0.123,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281,0.001,0,0,0,0,0.103,0,0,0,0,3.212
25-05-13,0,0.375,0,0,0,0,0.003,0,0,0.535,0,0,0,0,0,0.122,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277,0,0,0,0,0,0.101,0,0,0,0,3.303
26-05-13,0,0.33,0,0,0,0,0.003,0,0,0.63,0,0,0,0,0,0.121,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,0,0,0,0,0,0.101,0,0,0,0,3.225
27-05-13,0,0.171,0,0,0,0,0.076,0,0,0.646,0,0,0,0,0,0.12,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,0,0,0,0,0,0.1,0,0,0,0,3.128
28-05-13,0,0.003,0,0,0,0,0.164,0,0,0.602,0,0,0,0,0,0.12,0.178,0,0,0,0.091,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274,0.001,0,0,0,0,0.101,0,0,0,0,3.493
29-05-13,0,0.014,0,0,0,0,0.208,0,0,0.625,0,0,0,0,0,0.118,0.176,0,0,0,0.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0,0,0,0,0,0.099,0,0,0,0,3.693
30-05-13,0.092,0.017,0.011,0,0,0,0.003,0,0.154,0.631,0.029,0.021,0,0,0,0.118,0.126,0,0.001,0,0.202,0,0.106,0,0,0,0,0,0,0,0,0,0,0,0.001,0.003,0,0,0,0.007,0.268,0,0,0,0,0,0.075,0.003,0,0,0,5.801
31-05-13,0.041,0.224,0.023,0.375,0,0,0.139,0.194,0.235,0.61,0.055,0.438,0,0,0,0.121,0,0,0.048,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0,0,0,0,0.271,0,0,0,0,0,0.02,0.046,0,0,0,4.402
01-06-13,0,0.274,0,0.066,0,0.135,0.219,0.196,0.242,0.737,0.046,0,0,0,0.031,0.114,0.005,0,0,0,0,0,0.075,0.002,0,0.021,0.013,0,0,0,0.001,0,0,0,0.006,0.002,0,0,0,0,0.262,0,0,0,0,0,0,0,0,0,0,8.427
02-06-13,0.018,0.327,0,1.825,0,0.08,0.056,0.115,0.413,0.712,0.083,0,0,0,0.019,0.116,0,0,0,0.754,0,0,0.018,0,0,0.019,0,0,0,0,0,0,0,0,0.002,0.002,0,0,0,0.005,0.266,0,0,0,0,0,0,0,0,0,0,4.735
03-06-13,0,0.32,0,0,0,0,0.07,0.2,0.175,0.69,0.028,0.023,0,0,0,0.114,0,0,0.006,0.402,0,0,0.058,0,0,0,0,0,0.093,0,0,0,0,0,0.002,0.002,0,0,0,0,0.263,0,0,0,0,0,0,0,0,0,0,6.319
04-06-13,0,0.252,0,0.946,0,0.101,0.069,0.193,0.208,0.728,0.199,0,0,0,0.022,0.115,0.016,0,0,0.253,0,0,0.13,0,0,0.015,0.012,0,0,0,0,0,0,0,0.002,0.006,0,0,0,0,0.265,0,0,0,0,0,0,0,0,0,0,7.668
05-06-13,0,0.312,0,0.306,0.88,0.224,0.301,0.257,0.288,0.789,0.056,0.401,0,0,0.055,0.12,0,0,0.061,0,0,0,0.027,0,0,0.037,0,0,0,0,0,0,0,0,0.001,0.004,0,0,0,0.021,0.27,0,0,0,0,0,0,0,0,0,0,7.254
06-06-13,0,0.338,0.001,0.584,0,0.335,0.214,0.411,0.185,0.753,0.114,0.435,0,0,0.072,0.119,0,0,0.059,0,0,0,0.056,0,0,0.049,0.013,0,0,0,0,0,0,0,0.001,0.009,0,0,0,0.031,0.27,0,0,0,0,0,0,0,0,0,0,6.895
07-06-13,0,0.203,0,0,0.858,0.379,0.374,0.376,0.144,0.85,0.054,0.088,0,0.484,0.125,0.117,0,0,0.006,0,0,0,0.152,0,0,0.077,0.016,0,0,0,0,0,0,0,0.002,0.006,0,0,0,0.047,0.267,0,0.001,0,0,0,0,0.003,0.22,0,0,8.298
08-06-13,0,0.328,0,0.247,0,0.386,0.383,0.307,0.278,0.798,0.132,0.508,0,0,0.378,0.122,0,0,0.049,0,0,0,0.017,0,0,0.05,0.014,0,0,0,0,0,0,0,0,0.004,0,0,0,0.007,0.273,0,0,0,0.013,0,0,0.011,0,0,0,6.831
