Date,boiler,solar_thermal_pump,laptop,washing_machine,dishwasher,tv,kitchen_lights,htpc,kettle,toaster,fridge,microwave,lcd_office,hifi_office,breadmaker,amp_livingroom,adsl_router,livingroom_s_lamp,soldering_iron,gigE_&_USBhub,hoover,kitchen_dt_lamp,bedroom_ds_lamp,lighting_circuit,livingroom_s_lamp2,iPad_charger,subwoofer_livingroom,livingroom_lamp_tv,DAB_radio_livingroom,kitchen_lamp2,kitchen_phone&stereo,utilityrm_lamp,samsung_charger,bedroom_d_lamp,coffee_machine,kitchen_radio,bedroom_chargers,hair_dryer,straighteners,iron,gas_oven,data_logger_pc,childs_table_lamp,childs_ds_lamp,baby_monitor_tx,battery_charger,office_lamp1,office_lamp2,office_lamp3,office_pc,office_ds_fan,LED_printer,Holiday,Average_Temp_in_Celsius,Average_Humidity_in_percentage,Average_WindSpeed_in_KMperH,Total_power_mainMeter
06-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
12-12-12,1.307,0,0,0,1.102,0.057,5.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-12-12,3.628,0.147,0,0,0,0.19,13.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-12-12,1.019,0,0,0.567,0,0.082,3.721,0.051,0,0,0.081,0,0.011,0.001,0,0.012,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-12-12,1.31,0.193,0,1.804,1.075,0.134,12.333,0.287,0.259,0.498,1.034,0.11,0.006,0,0,0.052,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-12-12,1.203,0.653,0,0,0,0.257,7.375,0.227,0.294,0.159,0.797,0.181,0,0,0,0.023,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17-12-12,1.186,0.55,0,0,0,0.225,5.709,0.141,0.299,0.272,0.662,0.035,0.166,0.027,0,0.049,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-12-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-12-12,0.769,0,0,0,0,0.297,2.978,0.341,0,0.083,0.277,0.042,0.03,0,0,0.08,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-12-12,0.693,0.433,0,0.513,0,0.378,21.684,0.299,0.562,0.172,1.001,0.06,0.034,0.005,0,0.08,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24-12-12,0.84,0,0,0.507,1.073,0.167,23.617,1.55,0.515,0.19,1.117,0.103,0.022,0,0,0.07,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-12-12,1.561,0.07,0.042,0,0.752,0.175,20.177,1.463,1.127,0.082,1.152,0.121,0,0,0.516,0.072,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26-12-12,1.574,0.103,0,0.692,1.313,0.239,13.884,0.962,0.252,0.279,1.031,0.205,0,0,0,0.057,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27-12-12,0,0,0,0,0,0,0,0.27,0,0,0.653,0,0,0,0,0,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-12-12,0,0,0,0.003,0,0,0,0.333,0,0,0.678,0,0,0,0,0,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-12-12,0.253,0,0,0,0,0,0.283,0.195,0,0,0.67,0,0.005,0,0,0,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-12-12,2.698,0.21,0,0.507,0,0.302,6.684,0.539,0.435,0.196,0.813,0.119,0,0,0,0.232,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31-12-12,1.05,0,0,0.563,0,0.478,13.756,0.579,0.371,0.083,0.919,0.11,0.314,0.046,0.589,0.117,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-01-13,1.05,0.816,0,0.535,1.06,0.673,11.235,0.472,0.33,0.279,0.901,0.343,0.085,0.011,0,0.138,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,73,19,0
02-01-13,1.822,0,0,0.613,0,1.138,8.383,0.731,0.267,0.097,0.844,0.074,0.07,0,0,0.12,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,87,13,0
03-01-13,1.054,0.052,0,0.036,1.095,1.418,10.245,0.772,0.256,0.372,1.063,0.056,0.213,0,0,0.129,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,88,16,0
04-01-13,1.295,0.062,0,0,0,0.554,12.378,0.749,0.417,0.493,0.933,0.13,0.278,0.074,0,0.155,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,82,23,0
05-01-13,0.829,0.111,0,0.526,0.444,0.297,11.663,0.52,0.558,0.425,0.901,0.182,0.011,0,0,0.105,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88,14,0
06-01-13,1.017,0,0,0.518,0.648,0.222,13.213,1.183,0.563,0.554,0.946,0.066,0,0,0,0.074,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,93,14,0
07-01-13,1.176,0,0,0.49,0,0.187,10.683,0.257,0.346,0.26,0.785,0.104,0.137,0.053,0.476,0.051,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,89,16,0
08-01-13,1.198,0.676,0,0,1.088,0.277,13.18,0.294,0.453,0.28,0.888,0.138,0.124,0,0,0.027,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,83,13,0
09-01-13,0.862,0.06,0,1.125,0,0.3,11.517,0.243,0.16,0.4,0.907,0.45,0.381,0.13,0,0.122,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,89,13,0
10-01-13,0.629,0,0,1.154,0,0,2.041,0.04,0.121,0.186,0.299,0.014,0.082,0.038,0,0,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,14,0
11-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,89,18,0
12-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,76,6,0
13-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,75,14,0
14-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,10,0
15-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,86,18,0
16-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,88,6,0
17-01-13,0.865,0,0,0,1.163,0.04,3.446,0.06,0.144,0,0.249,0.062,0.08,0.022,0,0.022,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,83,5,0
18-01-13,2.626,0,0,0.688,0,0.197,14.51,0.196,0.333,0.205,0.822,0.158,0.189,0.001,0,0.029,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,80,19,0
19-01-13,2.558,0,0,0,0,0.124,7.555,0.213,0.234,0.381,0.692,0.083,0.052,0.037,0,0.058,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,19,0
20-01-13,2.718,0,0,0.005,0,0.176,8.547,0.166,0.33,0.404,0.682,0.08,0,0.001,0.001,0.041,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,91,18,0
21-01-13,2.227,0.193,0,0.65,0.655,0.302,5.461,0.207,0.469,0.39,0.6,0.043,0,0.001,0,0.064,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,8,0
22-01-13,2.537,0.135,0,0,0.557,0.282,10.93,0.232,0.431,0.464,0.82,0.165,0.443,0.173,0,0.066,0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,10,0
23-01-13,2.496,0.075,0,0,0,0.71,9.19,0.803,0.303,0.535,0.704,0.22,0.232,0.041,0,0.147,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,81,14,0
24-01-13,2.351,0,0,0.632,1.194,0.213,8.14,0.263,0.319,0.188,0.715,0.072,0.27,0.078,0.488,0.032,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,82,10,0
25-01-13,2.46,0,0,0,0,0.394,7.423,0.349,0.428,0.499,0.753,0.058,0.207,0.056,0,0.088,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,85,11,0
26-01-13,1.877,1.288,0,2.391,1.148,0.378,9.952,0.355,0.404,0.628,0.77,0.151,0,0.001,0,0.138,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,82,21,0
27-01-13,1.018,1.642,0,0.99,0,0.202,5.682,0.203,0.157,0.33,0.782,0.074,0,0,0,0.047,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,74,31,0
28-01-13,0.787,0,0,0,0,0.019,1.789,0.093,0.086,0,0.307,0.065,0.049,0.002,0.468,0.004,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,80,24,0
29-01-13,0.879,0.117,0,1.221,1.119,0,4.861,0.042,0.154,0.222,0.615,0.142,0.083,0.023,0,0.021,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,85,29,0
30-01-13,0,0.296,0,0,0,0,0.808,0.001,0,0,0.044,0,0.03,0.01,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,69,32,0
31-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,69,31,0
01-02-13,0.462,0.221,0,0,0,0.156,2.501,0.156,0.243,0.243,0.378,0.021,0.12,0.011,0,0.047,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,85,16,0
02-02-13,0.941,0.07,0,0.473,1.1,0,6.886,0.159,0,0.281,0.381,0.125,0.001,0,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,23,0
03-02-13,1.957,0,0,0,0,0.115,6.673,0.182,0.254,0.374,0.621,0.104,0.005,0,0.61,0.023,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80,10,0
04-02-13,0.365,1.394,0,0.492,0,0.077,2.176,0.067,0.256,0.068,0.173,0.016,0.059,0,0,0.015,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,66,24,0
05-02-13,0.768,0,0,0,0.483,0.219,7.192,0.207,0.227,0.219,0.294,0.333,0.173,0.107,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,67,14,0
06-02-13,2.045,0.18,0,0.803,0.67,0.398,8.675,0.438,0.472,0,1.084,0.186,0.106,0.139,0.592,0.078,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,78,10,0
07-02-13,0.084,0,0,0,0,0,0,0.104,0,0,0.135,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,70,11,0
08-02-13,0.448,0,0,0,0,0.286,2.339,0.253,0,0,0.2,0.098,0.007,0.001,0,0.066,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,79,14,0
09-02-13,2.033,0.176,0,0,0,0.26,4.771,0.404,0.296,0.259,0.813,0.201,0.148,0.048,0,0.14,0.139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,14,0
10-02-13,2.531,0.031,0,1.256,0,0.405,8.139,0.771,0.372,0.683,0.792,0.198,0,0,0,0.089,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,14,0
11-02-13,1.188,0.087,0,0,1.153,0.001,2.98,0.012,0.185,0.252,0.408,0.02,0.159,0.065,0,0,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94,16,0
12-02-13,0.105,0,0,0,0,0,1.477,0.152,0.189,0.103,0.223,0.022,0.209,0.098,0,0,0.038,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76,8,0
13-02-13,0.097,0.066,0,0,0,0.039,0.836,0.152,0.078,0.104,0.239,0,0.047,0.004,0,0.01,0.075,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,14,0
